health,status,index,uuid,pri,rep,docs.count_x,docs.deleted_x,store.size,pri.store.size,deleted_to_count_ratio,shard,prirep,ip,segment,generation,docs.count_y,docs.deleted_y,size,size.memory,committed,searchable,version,compound,segments_count,TenantId,Tenant,Business,Technical,Marketplace,Total,mean_size,variance_size,95th_percentile_size,std_dev_size(mb)
green,open,devprod-6jwmrbo6bbdemqxomqtbwg-mkg_document_store-ccgf-contentv2,jlZ27Md4QnSaipT2gtGAkQ,1,1,33,13,0.38,0.24,39.39,0,r,x.x.x.x,_79,261,19,15,0.08,19332,true,true,8.2.0,false,10.0,6jwmrbo6bbdemqxomqtbwg,MKG_Tenant_Isolation_AWS4,14,0,0,38,0.039,0.0007433333333333333,0.08549999999999999,0.02726414006223804
green,open,devprod-00cwgcdeusof3mlpk5simy-mkg_document_store-ccgf-contentv2,Pe2mkE4HQxuBqCKqv5oBrg,1,1,33,13,0.37,0.24,39.39,0,r,x.x.x.x,_6v,247,19,7,0.07,15676,true,true,8.2.0,false,10.0,00cwgcdeusof3mlpk5simy,MKG_Tenant_Isolation_AWS15,14,0,0,28,0.038,0.0006622222222222221,0.08099999999999997,0.025733678754158374
green,open,devprod-krldrosr3asb4rselg058h-mkg_document_store-ccgf-contentv2,f8bEhcQkQriePJ9oSlKWig,1,1,76,1,0.36,0.18,1.32,0,p,x.x.x.x,_x,33,29,1,0.07,15076,true,true,8.2.0,true,6.0,krldrosr3asb4rselg058h,CP_17July_Profiling_QE01,0,0,0,39,0.05666666666666667,0.0004266666666666669,0.07,0.020655911179772897
green,open,devprod-4m6xkqjf6ahazytmqz7fms-mkg_document_store-ccgf-contentv2,E2INvxIkRaaXJ3G34kew3w,1,1,30,4,0.35,0.11,13.33,0,p,x.x.x.x,_2,2,19,0,0.03,11804,true,true,8.2.0,true,15.0,,,,,,,0.022000000000000002,1.7142857142857135e-05,0.03,0.004140393356054125
green,open,devprod-2zu6ptsjseblp1u10sa3wk-mkg_document_store-ccgf-contentv2,srVh9fv9RF2Z8z0w5E1OwA,1,1,34,13,0.34,0.27,38.24,0,r,x.x.x.x,_7g,268,34,1,0.07,18948,true,true,8.2.0,false,11.0,2zu6ptsjseblp1u10sa3wk,MKG_Tenant_Isolation_AWS3,14,0,0,38,0.031818181818181815,0.0006163636363636362,0.08,0.024826671874490874
green,open,devprod-982ida94f5afmvcwdkpzem-mkg_document_store-ccgf-contentv2,XqTTg1xdTUCJCtvvRh7Ibg,1,1,34,13,0.34,0.27,38.24,0,p,x.x.x.x,_6v,247,21,13,0.09,19724,true,true,8.2.0,false,11.0,982ida94f5afmvcwdkpzem,MKG_Tenant_Isolation_AWS6,14,0,0,38,0.031818181818181815,0.0006163636363636365,0.08,0.02482667187449088
green,open,devprod-5l7e24vtr4ueyzauuxxls0-mkg_document_store-ccgf-contentv2,8SCh0LoySwOWCrW56jUMuQ,1,1,34,13,0.33,0.25,38.24,0,p,x.x.x.x,_7i,270,21,13,0.09,19724,true,true,8.2.0,false,10.0,5l7e24vtr4ueyzauuxxls0,MKG_Tenant_Isolation_AWS11,14,0,0,38,0.033,0.0006677777777777779,0.08099999999999997,0.025841396591085742
green,open,devprod-6s3lihfpmbalservqqv0wx-mkg_document_store-ccgf-contentv2,mxpnzBCXRDqM58Vaf1vzSw,1,1,33,13,0.31,0.24,39.39,0,r,x.x.x.x,_63,219,33,2,0.07,18948,true,true,8.2.0,false,9.0,6s3lihfpmbalservqqv0wx,MKG_Tenant_Isolation_AWS7_1,14,0,0,36,0.035555555555555556,0.0006777777777777776,0.08199999999999999,0.02603416558635551
green,open,devprod-6x1uywglvo0lrgx2oboesd-mkg_document_store-ccgf-contentv2,ax_1S-cXQOyYQ46EOcDpNA,1,1,33,13,0.31,0.24,39.39,0,r,x.x.x.x,_73,255,33,2,0.07,18948,true,true,8.2.0,false,9.0,6x1uywglvo0lrgx2oboesd,MKG_Tenant_Isolation_AWS14,14,0,0,38,0.035555555555555556,0.0006777777777777776,0.08199999999999999,0.02603416558635551
green,open,devprod-4tqdln8kxrefntf7mfbhip-mkg_document_store-ccgf-contentv2,9VbHEXi8TASFmy6VQxD2Zw,1,1,71,0,0.26,0.13,0.0,0,r,x.x.x.x,_2,2,19,0,0.04,11804,true,true,8.2.0,true,10.0,4tqdln8kxrefntf7mfbhip,16Aug_PlatformQE_01,51,0,0,61,0.026000000000000002,7.111111111111112e-05,0.04,0.008432740427115679
