TenantId,Objects,Relationship
DEVPROD_PM_1,10,9
DEVPROD_PRESALES_1,"3,84,992","6,18,649"
DEVPROD_PRESALES_MKG_QE,"19,78,340","25,10,020"
DEVPROD_PRESALES_MKG_QE_PREVIEW,"34,59,037","7,37,957"
DEVPROD_PS_1,10,9
DEVPROD_SCANNERS_1,18,9
DP_DEVPROD_April1,"1,39,749","1,39,761"
DP_DEVPROD_April2,"1,61,109","1,61,200"
DP_DEVPROD_April7,"53,06,351","2,98,399"
DP_DEVPROD_July2,"94,203","94,208"
DP_June14,"1,00,876","1,00,894"
DP_PERF_MAY_16_01,306,304
DataDestructionAugust,0,0
DataDestructionAugust2023,"79,83,581","83,71,145"
DataDestructionAugust2023_02,"7,619","10,281"
DataDestruction_April2023Release_1,"97,28,958","50,58,341"
DataDestruction_May2023Release_2,"5,22,097","5,25,391"
DevProd_18July_Release_PLTF_01,26,9
DevProd_ProductMgmt1,"3,182","5,888"
Devprod_GCS,"7,912","13,465"
Devprod_GCS_July,519,609
Devprod_Presales,"50,798","68,564"
Devprod_Presales_July,10,9
Devprod_Profiling_Perf19July,"37,54,957","42,66,200"
Disc_CD_1,"1,659","1,705"
Discovery_CD_06_April,922,"1,101"
Export_CD_Apr2023,"1,046","2,299"
Export_CD_Apr2023_1,"1,040","2,438"
GCS_Scanner_1,243,398
GCS_Scanner_2,10,9
GCS_Scanner_3,10,9
Hawkdqmrel_NFT_QE1,10,9
Hawkdqmrel_QE1,10,9
Hawkdqmrel_latest,10,9
ICD_DEVPROD_NOV24_1,"1,74,642","1,74,571"
INFA,782,444
INGCON_TG_CDN_TENANT_DECOMISSION_RETRY_03,18,9
Informatica,34,19
Informatica-New,10,9
JUNE_GA_BKP_TENANT_1,0,0
JUNE_GA_BKP_TENANT_2,10,9
JUNE_GA_BKP_TENANT_3,10,9
JUNE_GA_BKP_TENANT_4,10,9
JUNE_GA_BKP_TENANT_5,10,9
MKG28July_ReverseSync_QE,20,9
MKG_DEVPROD_2023,0,0
MKG_IngestionTest,13,9
MKG_July,"26,76,845","20,48,092"
MKG_PublicAPI_14July,56,4
MKG_PublicAPI_22Aug,"2,00,396","1,13,775"
MKG_PublicAPI_QE,18,9
MKG_QE_17May,"1,19,651","1,35,016"
MKG_ReverseSync_CD_08July,309,9
MKG_Tenant_Isolation_AWS1,28,10
MKG_Tenant_Isolation_AWS10_1,28,10
MKG_Tenant_Isolation_AWS11,28,10
MKG_Tenant_Isolation_AWS12_1,28,10
MKG_Tenant_Isolation_AWS13,28,10
MKG_Tenant_Isolation_AWS14,28,10
MKG_Tenant_Isolation_AWS15,28,10
MKG_Tenant_Isolation_AWS2,28,9
